"ADDRESS_ZIP_CODE","AGG_NUM_VEHICLES","AVG_HOUSEHOLD_SIZE","MED_GROSS_RENT","MED_HOUSING_COST","MED_INCOME","MED_YEAR_BUILT","MONTHLY_OWNER_COSTS","NO_INTERNET","TOTAL_POP"
"00601",3300,3.16,377,162,15292,1980,3553,1642,17126
"00602",8880,2.94,414,167,18716,1978,9782,4665,37895
"00603",10670,2.49,409,250,16789,1981,11254,4767,49136
"00606",1360,2.91,350,118,18835,1978,1440,1258,5751
"00610",7185,2.92,478,203,21239,1978,6452,2180,26153
"00611",355,2.5,381,246,17143,1992,310,148,1283
"00612",15250,2.72,424,320,19934,1977,14466,5942,64090
"00616",2990,3.04,438,240,19130,1982,2366,1049,10186
"00617",5780,2.91,573,279,19048,1984,5707,2757,22803
"00622",1945,2.76,492,188,17728,1991,2052,1196,7751
"00623",10310,2.84,495,308,18690,1984,10137,6367,39652
"00624",5495,3.04,458,232,18136,1983,5033,1816,21912
"00627",9525,2.88,524,197,19745,1983,8659,3248,32885
"00631",180,2.77,283,135,15234,1973,248,227,1098
"00636",350,3.97,NA,NA,NA,1974,202,105,1174
"00637",5245,3.26,457,184,19042,1984,5550,2427,23016
"00638",3175,2.93,351,175,18968,1983,4487,1990,17689
"00641",5070,2.85,427,232,16233,1979,5299,3580,24915
"00646",10250,3.04,574,357,29568,1984,9393,4587,36142
"00647",840,2.69,328,135,14430,1981,1431,842,5198
"00650",3465,2.77,598,376,20362,1983,3611,1636,14301
"00652",785,2.48,671,NA,23813,1991,952,243,3193
"00653",1815,2.51,280,142,11788,1980,2447,1350,9099
"00656",4365,2.85,386,184,19054,1976,4712,1754,18633
"00659",11560,2.83,509,277,20694,1987,9540,3804,37525
"00660",4545,2.49,439,326,20770,1975,4440,1560,15630
"00662",9795,2.87,475,300,17375,1980,8353,7320,40503
"00664",3130,2.95,404,200,16389,1983,3104,2039,15132
"00667",5520,3.01,474,197,15426,1983,5367,3963,23665
"00669",7035,2.82,453,197,17589,1984,6441,3292,27763
"00670",2180,3.27,265,150,15516,1979,2016,1513,8744
"00674",9995,2.73,515,283,19103,1976,10708,7080,39569
"00676",8685,2.81,445,231,17423,1983,8126,3339,36849
"00677",4025,2.64,523,195,24325,1979,3854,1765,15225
"00678",6685,2.86,464,209,18269,1983,6081,2644,25763
"00680",9455,2.4,426,267,15340,1969,9967,5154,43070
"00682",6800,2.64,403,294,15678,1968,6124,2176,31816
"00683",5910,2.71,437,173,16764,1977,7343,6396,29664
"00685",9415,2.82,424,215,16785,1980,9817,5734,40169
"00687",7855,3,505,262,21598,1985,6780,2291,29069
"00688",2725,2.73,478,249,16181,1983,2547,1797,11552
"00690",1455,2.84,NA,453,18142,1988,1563,398,6217
"00692",8725,2.88,572,442,22144,1985,7873,3480,33646
"00693",15710,2.76,530,278,21647,1977,15510,9491,56146
"00694",NA,3.07,NA,NA,NA,1978,28,14,86
"00698",7985,2.9,429,161,16403,1981,8745,4021,34016
"00703",7875,2.75,407,209,22023,1980,5853,2171,25001
"00704",2120,2.8,530,315,18917,1987,1975,741,7179
"00705",6810,2.81,469,199,21282,1984,6814,2624,24414
"00707",2070,2.76,479,183,21365,1983,2798,1088,10615
"00714",3275,2.63,446,282,14933,1980,4685,1560,16183
"00715",290,2.49,236,141,13787,1973,670,206,2012
"00716",6150,2.46,426,328,19164,1974,7395,2804,27746
"00717",2990,2.23,297,290,12228,1968,3117,1923,14568
"00718",5295,2.88,479,245,18333,1982,5862,1684,23412
"00719",6980,3.49,506,237,19197,1981,5508,4012,29555
"00720",4010,3.16,436,186,15485,1984,4476,2272,20717
"00723",3330,2.77,391,217,18107,1989,4213,1589,16265
"00725",22175,2.61,507,451,24262,1977,19457,6821,79153
"00727",17230,2.73,742,672,31204,1984,13624,3022,52829
"00728",10125,2.87,431,272,20542,1977,10394,3141,39669
"00729",13985,2.91,555,392,24289,1983,12249,2659,48227
"00730",7580,2.55,454,244,16734,1973,8279,3406,33251
"00731",2395,2.82,438,165,15097,1985,3011,1473,11131
"00735",3175,2.81,510,287,20864,1982,3020,1062,11621
"00736",13825,2.65,521,370,24099,1979,10856,3801,46167
"00738",7750,2.62,573,450,22162,1978,8039,2410,30468
"00739",10200,2.96,497,288,23021,1985,7559,3456,35105
"00740",540,3.14,513,238,10984,1977,330,91,2020
"00741",1080,2.78,551,381,24143,1976,1146,375,3899
"00745",13155,3.01,554,447,23882,1984,11608,3232,48282
"00751",5045,2.62,468,214,18458,1983,5794,2192,19768
"00754",9625,2.79,541,218,19320,1985,9749,4018,37012
"00757",6385,2.83,533,346,20786,1984,5660,1632,20366
"00765",1250,3.5,470,185,14942,1979,1670,612,8317
"00766",5760,2.83,448,182,20774,1985,5798,1816,22416
"00767",7685,2.61,479,225,17390,1983,8356,3687,31450
"00769",9310,2.7,469,242,18994,1984,9877,3690,35126
"00771",9430,2.94,487,322,23873,1990,9203,2199,34882
"00772",4075,2.75,403,177,16425,1987,4093,1364,18148
"00773",4330,2.63,472,333,22216,1979,4743,1515,17917
"00775",465,2.64,438,241,25104,1994,312,91,1293
"00777",11950,2.85,519,443,22317,1988,9654,2592,38267
"00778",13450,2.82,638,608,35690,1991,10954,2147,41026
"00780",3805,2.91,807,510,23684,1991,3923,1159,12975
"00782",5225,3.64,482,279,14978,1979,2464,2769,18664
"00783",8865,3.24,563,251,19192,1979,7692,3736,34329
"00784",7755,2.47,385,264,17821,1979,9654,4188,36965
"00786",NA,1.86,NA,99,NA,1985,81,55,151
"00791",11875,2.87,458,258,22316,1982,11814,4027,47335
"00794",6940,3.23,428,290,19997,1983,5677,2789,28432
"00795",11485,3,517,246,21252,1984,10817,2831,44055
"00901",1380,2.09,577,777,27426,0,1351,874,8098
"00906",140,1.88,NA,2586,NA,2002,91,0,171
"00907",5965,1.99,849,842,38807,1967,5150,1558,16620
"00909",1230,2.2,566,529,19512,1970,969,867,5007
"00911",2030,1.97,695,753,34413,1965,1811,898,7347
"00912",2055,2.16,597,626,28011,1964,1526,816,6233
"00913",775,2.45,240,273,5746,1947,532,1257,7460
"00915",5120,2.41,421,341,12921,1958,4458,4181,25585
"00917",4155,2.25,511,464,16277,1965,3996,4016,18504
"00918",4850,2.02,604,702,31993,1968,3601,2832,15393
"00920",5495,2.49,725,694,26217,1956,3796,2131,17249
"00921",8920,2.32,559,592,20147,1963,6643,4199,32958
"00923",5990,2.47,435,421,16950,1964,4594,5094,25915
"00924",12335,2.47,451,474,19876,1967,10031,7155,48016
"00925",1265,1.79,492,507,12880,1956,727,1679,6128
"00926",31740,2.61,621,616,35680,1976,26242,10265,94560
"00927",4515,2.28,553,583,36638,1966,3241,1567,13662
"00934",NA,4.59,NA,NA,NA,1948,0,0,124
"00949",21595,2.71,670,514,29319,1978,19452,7570,69785
"00950",NA,NA,NA,NA,NA,NA,0,0,0
"00951",100,2.2,NA,NA,20662,1964,64,64,376
"00952",1780,2.71,469,223,17018,1974,1861,1225,7727
"00953",22520,3.06,694,656,28459,1986,17748,9438,67606
"00956",18935,2.68,587,483,25506,1971,16725,5068,64939
"00957",11550,2.76,623,520,26384,1972,10691,3071,41162
